Country,District,Capital,Area,Population
Guinea,Beyla,Beyla,"13,612","325,482"
Guinea,Boffa,Boffa,"5,050","211,063"
Guinea,Boke,Boke,"11,124","449,405"
Guinea,Conakry,Conakry,450,"1,667,864"
Guinea,Coyah,Coyah,"1,275","264,164"
Guinea,Dabola,Dabola,"6,350","182,951"
Guinea,Dalaba,Dalaba,"3,328","136,320"
Guinea,Dinguiraye,Dinguiraye,"7,965","195,662"
Guinea,Dubreka,Dubreka,"4,350","328,418"
Guinea,Faranah,Faranah,"12,966","280,511"
Guinea,Forecariah,Forecariah,"4,384","244,649"
Guinea,Fria,Fria,"2,016","96,527"
Guinea,Gaoual,Gaoual,"7,758","194,245"
Guinea,Gueckedou,Gueckedou,"4,750","291,823"
Guinea,Kankan,Kankan,"19,750","472,112"
Guinea,Kerouane,Kerouane,"7,020","211,017"
Guinea,Kindia,Kindia,"9,648","438,315"
Guinea,Kissidougo,Kissidougo,"8,300","283,609"
Guinea,Koubia,Koubia,"3,725","101,171"
Guinea,Koundara,Koundara,"5,238","130,205"
Guinea,Kouroussa,Kouroussa,"14,050","268,224"
Guinea,Labe,Labe,"2,242","318,633"
Guinea,Lelouma,Lelouma,"4,275","162,634"
Guinea,Lola,Lola,"4,688","175,213"
Guinea,Macenta,Macenta,"7,056","298,282"
Guinea,Mali,Mali,"8,802","290,320"
Guinea,Mamou,Mamou,"9,108","318,738"
Guinea,Mandiana,Mandiana,"12,825","339,527"
Guinea,N'zerekore,N'zerekore,"3,632","396,118"
Guinea,Pita,Pita,"4,638","277,059"
Guinea,Siguiri,Siguiri,"18,500","695,449"
Guinea,Telimele,Telimele,"9,216","283,639"
Guinea,Tougue,Tougue,"3,825","122,959"
Guinea,Yomou,Yomou,"3,920","176,664"
