Country,District,Province,Capital,Area,Population
Sierra Leone,Kailahun,Eastern,Kailahun,"3,859","526,379"
Sierra Leone,Kenema,Eastern,Kenema,"6,053","609,891"
Sierra Leone,Kono,Eastern,Koidu Town,"5,641","506,100"
Sierra Leone,Bombali,Northern,Makeni,"7,895","606,544"
Sierra Leone,Falaba,Northern,Bendugu,,"205,353"
Sierra Leone,Koinadugu,Northern,Kabala,"12,121","409,372"
Sierra Leone,Tonkolili,Northern,Magburaka,"7,003","531,435"
Sierra Leone,Kambia,North West,Kambia,"3,108","345,474"
Sierra Leone,Karene,North West,Kamakwie,,"285,546"
Sierra Leone,Port Loko,North West,Port Loko,"5,719","615,376"
Sierra Leone,Bo,Southern,Bo,"5,219","575,478"
Sierra Leone,Bonthe,Southern,Bonthe,"3,468","200,781"
Sierra Leone,Moyamba,Southern,Moyamba,"6,902","318,588"
Sierra Leone,Pujehun,Southern,Pujehun,"4,105","346,461"
Sierra Leone,Western Rural,Western,Waterloo,544,"444,270"
Sierra Leone,Western Urban,Western,Freetown,13,"1,055,964"
