"country","code","total_size","t_min","t_max","peak_time","amplitude","s_l","s_l_SE","s_r","s_r_SE","aoc"
"Argentina","ARG",3716,2016,2016.835062,2016.331287,2596,2590.33849905278,161.584136096383,29.9593490381456,4.67004997422338,212.284535378488
"Bahamas","BHS",1867,2014.328549,2015.413424,2014.832324,1005,1014.17026474122,77.0541097374673,42.8722659507941,15.9632884572082,134.357370324738
"Barbados","BRB",872,2013.914462,2016.66805,2014.914462,350,349.999999998133,53.3763267592699,148.240608855956,286440.711428169,7.24915382909623
"Bolivia","BOL",20058,2015.914462,2016.583175,2016.416162,8890,8966.82156243371,2247.2127483531,18.4984186449823,7.03278485548102,930.710504007341
"Bolivia","BOL",3973,2016.66805,2017.914462,2017.413424,1789,1784.40376633935,219.938457559826,48.7161139692962,41.5218200752766,220.416476896079
"Brazil","BRA",578707,2015,2017.084875,2016.66805,128674,114639.348461037,6480.67230713139,10.102076682327,1.03537608238758,48164.9821611041
"Brazil","BRA",192208,2017.161537,2017.914462,2017.328549,54095,57109.9847162833,9105.63731762758,5.10112189881325,0.891526614539697,22450.9155921454
"Chile","CHL",267,2014.413424,2015.246412,2014.914462,168,167.172845881607,19.9489380779203,28.109445274921,7.71723840177438,12.8173748219998
"Colombia","COL",294831,2015,2017.914462,2015.161537,55733,44278.4232324152,2416.45791178189,3.71646808094719,0.26270113591897,24110.117968197
"Costa Rica","CRI",177210,2014.413424,2015.413424,2015,52778,56123.6317741705,6831.04340966124,12.4643409938165,2.35701509141929,15324.713230104
"Costa Rica","CRI",4447,2015.832324,2017.914462,2016.084875,962,985.844401702665,185.67939727386,25.9942531244539,10.1995281370803,161.808910441631
"Cuba","CUB",226,2014.832324,2015.246412,2015.084875,127,132.620368597843,18.0980459474421,786.835982833933,1.42409728440781e+26,18.5218002239901
"Dominican Republic","DOM",539242,2014,2015.413424,2014.495562,142482,157136.042071901,10792.1585819112,10.3282020387246,1.06465223096059,45147.1030966938
"Ecuador","ECU",30401,2014.747449,2017.914462,2015.495562,14041,14015.8465534859,1060.73330750095,31.5693003037602,6.62027069465718,1628.41809933631
"El Salvador","SLV",42848,2013.914462,2017.914462,2015.580437,10349,11052.4090886814,689.675825935372,17.1619837512404,1.9216708555487,2878.64128953801
"Guatemala","GTM",26820,2015.495562,2016.416162,2015.914462,21893,21887.7562658948,335.348904366016,31.1172492386304,1.28199637987984,1479.12757747503
"Guyana","GUY",27541,2014.495562,2015.161537,2014.914462,21429,21450.6274627712,342.365402364788,24.4202381757041,0.752687813672835,1969.76259597287
"Haiti","HTI",64709,2014.084875,2014.747449,2014.413424,45526,45594.6614608137,717.1614952542,24.1449917202282,0.711301977049701,5260.09527346046
"Honduras","HND",94483,2014.747449,2016.835062,2015.580437,22673,20309.9080248027,3849.69704783241,46.3511711845355,60.7533254348005,4051.07553490333
"Jamaica","JAM",6953,2014.580437,2015.580437,2014.914462,2691,2558.0367244167,323.644603693241,11.2887677228548,2.03951022163925,606.678009438593
"Mexico","MEX",11971,2014,2017.914462,2015.665312,2843,2558.21486083424,109.489577479869,8.02674305192198,0.521247745329527,962.965960839394
"Nicaragua","NIC",78923,2014.161537,2017.914462,2015.580437,20953,19935.5384928297,4264.83506918515,16.5204914613853,5.06475460200676,2608.4675467911
"Panama","PAN",2493,2016.583175,2017.914462,2017.580437,607,385.718206294776,85.7747565824238,8.61351857268704,3.77816705159174,240.479208420078
"Paraguay","PRY",5868,2013.914462,2016.750187,2015.413424,1186,661.401030013565,110.386549112812,4.17604287786394,1.02351500274978,441.232792028197
"Peru","PER",30716,2014.084875,2015.328549,2014.747449,8286,5903.28679070047,1038.27498030517,6.38566152828834,1.68594029281296,2628.01166852441
"Suriname","SUR",5984,2013.914462,2015.580437,2014.161537,2865,2861.83171888579,216.524563788222,33.1459051711352,7.45531252067217,255.777412999779
"Trinidad and Tobago","TTO",1281,2014.161537,2015.747449,2014.665312,570,557.039219035504,89.3731869381274,17.0748993946821,3.97168908195208,69.295556493269
"United States of America","USA",19,2014.246412,2015.328549,2014.914462,9,9,2.486326242056,159.352147168143,1342297.26339436,0.175734337053371
"Uruguay","URY",303,2014.246412,2015.328549,2015,114,110.593931531509,17.7622169104126,34.2763960023611,18.720400132211,21.8050741824879
"Venezuela","VEN",22730,2014,2017.914462,2015.328549,12778,12778,442.288264708628,169.708099814641,367282.001484038,231.68052583988
