"country","code","t_min","t_max","peak_time","amplitude","s_l","s_l_SE","s_r","s_r_SE","aoc"
"Bahamas","BHS",2014.495562,2015.246412,2014.832324,1005,42.7476557730879,18.6831965208154,17.2848986635813,2.08454147939499,133.455549107705
"Brazil","BRA",2016,2017.161538,2016.66805,128674,11.6352319585387,1.27721387151091,6.79345058941307,0.53680024297898,47415.78906195
"Brazil","BRA",2016.9172,2018.084875,2017.328549,54095,4.96965359658746,0.640965744625416,22.3701927298821,7.56801780767628,22491.9303687474
"Costa Rica","CRI",2014.328549,2015.495562,2015,52778,12.0443459821559,1.85188645419645,10.0486394700736,1.37890466848476,15127.5532416376
"Costa Rica","CRI",2015.665312,2016.583175,2016.084875,962,25.693826042707,4.26469745043559,14.9187897278174,1.56677090627641,162.515412699759
"Dominican Republic","DOM",2013.914462,2015.413424,2014.495562,142482,9.57790040515184,0.879286077435579,10.8884555119299,1.09625364164578,43912.9974771062
"El Salvador","SLV",2014.914462,2016.164275,2015.580437,10349,16.8708562009464,2.00604885074452,9.5706715257924,0.751082544470266,2706.31520189591
"Haiti","HTI",2014,2014.832324,2014.413424,45526,24.1276037512512,0.560496751740833,31.4819353365926,1.10515963560986,5256.7329653496
"Jamaica","JAM",2014.161537,2015.413424,2014.914462,2691,11.8166250350121,1.46655212752725,16.7270170299595,2.69846584141758,613.409882979944
"Mexico","MEX",2014.413424,2017.084875,2015.665312,2843,8.82605300140109,0.585677767389166,9.53507077459184,0.668761687240861,974.662179237338
"Panama","PAN",2016.084875,2018.085,2017.580437,607,11.7159015842226,3.04360226995561,6.8047495870172,1.23448538618583,224.892421743171
"Peru","PER",2013.914462,2015.328549,2014.747449,8286,9.92648261759629,1.96183307418221,10.4664582526162,2.16216030817941,2549.69900817732
"Suriname","SUR",2013.914462,2014.832324,2014.161537,2865,33.1597831569321,6.76423179832344,37.4955299588998,8.01970352980863,255.950403538003
"Uruguay","URY",2014.328549,2015.413424,2015,114,34.6182813242161,17.8555871330995,11.5732541416321,1.87336666300413,21.8838769228534
